trackId,InitialFrame,TotalFrame,Distance,minVel                  ,maxVel,meanVel,VehicleClass,LaneChangeNum,RampVehicle
8209,29943,109,95.41,19.66,23.38,22.09,car,0,False
8216,29863,165,145.28,21.12,23.22,22.15,car,0,False
8293,30061,151,146.96,23.38,25.09,24.49,car,0,False
8317,30166,125,103.33,20.09,22.12,20.83,car,0,False
8320,30172,156,131.62,20.16,21.88,21.23,car,0,False
8323,30181,194,153.03,18.53,21.34,19.83,car,0,False
8332,30218,168,154.16,19.41,26.31,23.08,car,0,False
8341,30273,172,152.91,19.91,23.72,22.36,car,0,False
8360,30425,192,129.44,15.31,17.69,16.94,car,0,False
8381,30406,192,162.42,20.25,24.41,21.27,car,0,False
8400,30540,202,159.21,19.00,20.94,19.81,car,0,False
8402,30467,204,175.92,20.62,23.12,21.67,car,0,False
8410,30488,128,108.80,20.66,22.06,21.42,car,0,False
8415,30572,206,163.98,16.50,20.97,19.99,car,0,False
8428,30622,171,126.58,17.69,20.44,18.62,car,0,False
8453,30677,185,168.31,21.25,24.25,22.87,car,0,False
8483,30913,174,160.06,21.25,24.56,23.13,car,0,False
8528,30994,150,150.79,23.31,26.28,25.30,car,0,False
8550,31040,268,156.94,12.50,16.16,14.70,car,1,True
8561,31044,203,166.15,18.25,21.94,20.55,car,0,False
8571,31034,223,158.35,16.56,23.31,17.85,car,0,False
8581,31113,175,128.59,16.63,21.97,18.48,car,0,False
8617,31259,176,160.22,19.81,24.19,22.88,car,0,False
8660,31351,174,156.32,21.19,24.06,22.59,car,0,False
8673,31355,223,166.76,15.31,21.63,18.77,car,1,True
8683,31404,173,139.90,18.31,24.09,20.34,car,0,False
8702,31489,196,163.35,19.19,25.53,20.96,car,0,False
8730,31552,167,115.97,15.38,18.38,17.46,car,0,False
8740,31677,213,163.04,17.53,20.25,19.23,car,0,False
8750,31658,206,163.35,18.81,24.37,19.93,car,0,False
8755,31689,101,79.29,19.09,20.19,19.82,truck,0,False
8760,31723,200,163.09,19.75,22.00,20.49,car,0,False
8770,31811,220,166.36,13.03,21.09,18.98,car,0,False
8780,31874,183,161.51,20.62,23.31,22.18,car,0,False
8783,31925,193,157.86,18.94,22.03,20.56,car,0,False
8813,31964,156,136.32,20.88,23.44,21.98,car,0,False
8847,32058,129,109.97,17.50,23.69,21.47,truck,0,False
8855,32081,216,164.36,16.75,21.00,19.11,car,0,False
8890,32187,181,154.65,17.94,23.69,21.47,car,1,False
8894,32180,157,117.89,17.75,19.94,18.89,car,0,False
8905,32310,201,158.65,17.78,20.88,19.83,car,0,False
8944,32280,122,104.96,20.87,22.44,21.69,car,0,False
9006,32437,198,165.80,20.06,23.06,21.05,car,0,False
9030,32514,127,91.63,17.56,18.69,18.18,bus,0,False
